"text","target"
"he waited impatiently in the blind",-0.0909090909090909
"The convicted murderer escaped from a high security prison",0.5833333333333334
"a weak mind",-0.875
"Murdoch owns many newspapers",0.0
"the coach told his players that defeat was unacceptable",-0.3333333333333333
"Common sense is not so common",0.1851851851851852
"he hasn't got the sense God gave little green apples",0.1851851851851852
"fortunately she had the good sense to run away",0.1851851851851852
"the reconciliation of his checkbook and the bank statement",0.09999999999999999
"roll your hair around your finger",0.13333333333333333
"Twine the thread around the spool",0.13333333333333333
"She wrapped her arms around the child",0.13333333333333333
"This beggars description!",-0.4166666666666667
"logically, you should now do the same to him",0.16666666666666666
"instructional designers are trained in something that might be called tradecraft",0.2222222222222222
"the CIA chief of station accepted responsibility for his agents' failures of tradecraft",0.2222222222222222
"The rubber ball bounced",0.3636363636363636
"These particles do not resile but they unite after they collide",0.3636363636363636
"a calculated insult",0.3333333333333333
"with measured irony",0.3333333333333333
"he made a deliberate decision not to respond negatively",0.3333333333333333
"the bartender was chummy with the regular customers",0.07407407407407407
"the two were thick as thieves for months",0.07407407407407407
"This author really suffers in translation",-0.5555555555555556
"The painting loses something in this light",-0.5555555555555556
"clothes in quiet good taste",-0.3888888888888889
"an irregular worker",-0.3333333333333333
"employed on a temporary basis",-0.3333333333333333
"The dress remained wet after repeated attempts to dry it",-0.4583333333333333
"rest assured",-0.4583333333333333
"stay alone",-0.4583333333333333
"He remained unmoved by her tears",-0.4583333333333333
"The bad weather continued for another week",-0.4583333333333333
"flamboyant handwriting",0.16666666666666666
"the senator's florid speech",0.16666666666666666
"the crude weapons and rude agricultural implements of early man",-0.40740740740740744
"primitive movies of the 1890s",-0.40740740740740744
"primitive living conditions in the Appalachian mountains",-0.40740740740740744
"his manner of speaking was quite abrupt",0.07407407407407407
"her speech was barren of southernisms",0.07407407407407407
"I detected a slight accent in his speech",0.07407407407407407
"Henry VIII reigned for a long time",0.4166666666666667
"he was helpless in an important sector of his life",0.0
"gave advance warning",0.3703703703703704
"was beforehand with her report",0.3703703703703704
"artists use `paint' and `pigment' interchangeably",0.0
"fallen leaves covered the forest floor",-0.3333333333333333
"sat on a fallen tree trunk",-0.3333333333333333
"I was approached by the President to serve as his adviser in foreign matters",0.4666666666666666
"He felt for his wallet",0.13333333333333333
"readily accessible to the nonprofessional reader",0.25
