"id0","lemmas","definition","examples","antonym_ids","antonym_lemmas","antonym_defs","antonym_examples"
"oewn-02854643-n","['blind']","a hiding place sometimes used by hunters (especially duck hunters)","['he waited impatiently in the blind']","[]","[]","[]","[]"
"oewn-02078906-v","['escape', 'break loose', 'get away']","run away from confinement","['The convicted murderer escaped from a high security prison']","[]","[]","[]","[]"
"oewn-00443540-s","['weak']","deficient in intelligence or mental power","['a weak mind']","[]","[]","[]","[]"
"oewn-08079806-n","['newspaper', 'paper', 'newspaper publisher']","a business firm that publishes newspapers","['Murdoch owns many newspapers']","[]","[]","[]","[]"
"oewn-02090199-s","['unacceptable']","not adequate to give satisfaction","['the coach told his players that defeat was unacceptable']","[]","[]","[]","[]"
"oewn-05622440-n","['gumption', 'sense', 'horse sense', 'common sense', 'good sense', 'mother wit']","sound practical judgment","['Common sense is not so common', ""he hasn't got the sense God gave little green apples"", 'fortunately she had the good sense to run away']","[]","[]","[]","[]"
"oewn-00185953-n","['reconciliation', 'balancing']","getting two things to correspond","['the reconciliation of his checkbook and the bank statement']","[]","[]","[]","[]"
"oewn-01525056-v","['twine', 'wrap', 'roll', 'wind']","arrange or coil around","['roll your hair around your finger', 'Twine the thread around the spool', 'She wrapped her arms around the child']","['oewn-01526442-v']","[['wind off', 'unwind', 'unroll']]","['reverse the winding or twisting of']","[['unwind a ball of yarn']]"
"oewn-02713541-v","['beggar']","be beyond the resources of","['This beggars description!']","[]","[]","[]","[]"
"oewn-00365540-r","['logically']","according to logical reasoning","['logically, you should now do the same to him']","[]","[]","[]","[]"
"oewn-05651861-n","['tradecraft']","skill acquired through experience in a trade; often used to discuss skill in espionage","['instructional designers are trained in something that might be called tradecraft', ""the CIA chief of station accepted responsibility for his agents' failures of tradecraft""]","[]","[]","[]","[]"
"oewn-01896097-v","['recoil', 'bounce', 'spring', 'reverberate', 'bound', 'rebound', 'resile', 'take a hop', 'ricochet']","spring back; spring away from an impact","['The rubber ball bounced', 'These particles do not resile but they unite after they collide']","[]","[]","[]","[]"
"oewn-01340892-s","['deliberate', 'calculated', 'measured']","carefully thought out in advance","['a calculated insult', 'with measured irony', 'he made a deliberate decision not to respond negatively']","[]","[]","[]","[]"
"oewn-00454147-s","['buddy-buddy', 'thick', 'chummy']","(used informally) associated on close terms","['the bartender was chummy with the regular customers', 'the two were thick as thieves for months']","[]","[]","[]","[]"
"oewn-00205234-v","['suffer', 'lose']","be set at a disadvantage","['This author really suffers in translation', 'The painting loses something in this light']","[]","[]","[]","[]"
"oewn-01855098-s","['quiet', 'restrained']","not showy or obtrusive","['clothes in quiet good taste']","[]","[]","[]","[]"
"oewn-01093468-s","['irregular', 'temporary']","lacking continuity or regularity","['an irregular worker', 'employed on a temporary basis']","[]","[]","[]","[]"
"oewn-00117793-v","['rest', 'stay', 'remain']","stay the same; remain in a certain state","['The dress remained wet after repeated attempts to dry it', 'rest assured', 'stay alone', 'He remained unmoved by her tears', 'The bad weather continued for another week']","['oewn-00109468-v']","[['change']]","[""undergo a change; become different in essence; losing one's or its original nature""]","[['She changed completely as she grew older', 'The weather changed last night']]"
"oewn-01799280-s","['florid', 'aureate', 'flamboyant']","elaborately or excessively ornamented","['flamboyant handwriting', ""the senator's florid speech""]","[]","[]","[]","[]"
"oewn-00821744-s","['crude', 'rude', 'primitive']","belonging to an early stage of technical development; characterized by simplicity and (often) crudeness","['the crude weapons and rude agricultural implements of early man', 'primitive movies of the 1890s', 'primitive living conditions in the Appalachian mountains']","[]","[]","[]","[]"
"oewn-07085523-n","['delivery', 'speech', 'manner of speaking']","your characteristic style or manner of expressing yourself orally","['his manner of speaking was quite abrupt', 'her speech was barren of southernisms', 'I detected a slight accent in his speech']","[]","[]","[]","[]"
"oewn-02593467-v","['reign']","have sovereign power","['Henry VIII reigned for a long time']","[]","[]","[]","[]"
"oewn-05861665-n","['sphere', 'sector']","a particular aspect of life or activity","['he was helpless in an important sector of his life']","[]","[]","[]","[]"
"oewn-00817484-s","['beforehand', 'advance']","being ahead of time or need","['gave advance warning', 'was beforehand with her report']","[]","[]","[]","[]"
"oewn-03880896-n","['paint', 'pigment']","a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating","[""artists use `paint' and `pigment' interchangeably""]","[]","[]","[]","[]"
"oewn-02502815-s","['fallen']","having dropped by the force of gravity","['fallen leaves covered the forest floor', 'sat on a fallen tree trunk']","[]","[]","[]","[]"
