"idx0","SENT","HumEvalN","HumEvalSD","HumEval","PietA","PietB","PietC","NicoPos","NicoNeg","NicoCom","sents","text","sents_count","ba0","BATot","BAPos","BANeg","BAAbs"
0,1,30,1.1957780134587124,-0.8666666666666667,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,"['This has led to frustration and anger after the many years of loyal service.']","This has led to frustration and anger after the many years of loyal service.",1,"[-0.24110394716262817]",-0.24110394716262817,0.0,0.24110394716262817,0.24110394716262817
1,2,29,0.9533451605131753,-2.1379310344827585,0.0,0.0,0.0,0.0,0.09090909090909091,-0.09090909090909091,"['My brother is the only person I would say is lazy.']","My brother is the only person I would say is lazy.",1,"[-0.6197383403778076]",-0.6197383403778076,0.0,0.6197383403778076,0.6197383403778076
2,3,30,1.3256965204630418,-1.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,"['The project was never finished and I felt gutted and disturbed.']","The project was never finished and I felt gutted and disturbed.",1,"[-0.5018849968910217]",-0.5018849968910217,0.0,0.5018849968910217,0.5018849968910217
3,4,31,0.6525384675349825,-2.3225806451612905,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,"[""If there was the option to not make an effort, they wouldn't.""]","If there was the option to not make an effort, they wouldn't.",1,"[-0.42841091752052307]",-0.42841091752052307,0.0,0.42841091752052307,0.42841091752052307
4,5,30,1.224275530553741,-2.1333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,"['I loved the fact that I had an excuse to do as little as possible!']","I loved the fact that I had an excuse to do as little as possible!",1,"[-0.30414828658103943]",-0.30414828658103943,0.0,0.30414828658103943,0.30414828658103943
5,6,29,0.78313504110775,-0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,"['she asked me to join her at one point, but i was unable to.']","she asked me to join her at one point, but i was unable to.",1,"[0.06279993802309036]",0.06279993802309036,0.06279993802309036,0.0,0.06279993802309036
6,7,30,0.9498941259817919,-1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,"[""I honestly believe if the ex colleague was there we wouldn't have lasted so long on the job.""]","I honestly believe if the ex colleague was there we wouldn't have lasted so long on the job.",1,"[-0.032894767820835114]",-0.032894767820835114,0.0,0.032894767820835114,0.032894767820835114
7,8,31,0.6425754631219991,2.2903225806451615,0.0,0.0,0.0,0.0,0.0,0.0,"['She spent hours researching all the different accreditations which would be best for her.']","She spent hours researching all the different accreditations which would be best for her.",1,"[0.1699712723493576]",0.1699712723493576,0.1699712723493576,0.0,0.1699712723493576
8,9,29,0.7799835794659098,-1.5862068965517242,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,"['My friend seemed to excel at this but eventually she gave up as she was unsuccessful earning money on the platform due to the recent surge in people working from home.']","My friend seemed to excel at this but eventually she gave up as she was unsuccessful earning money on the platform due to the recent surge in people working from home.",1,"[-0.00876615010201931]",-0.00876615010201931,0.0,0.00876615010201931,0.00876615010201931
9,10,31,0.7347005827114602,1.1612903225806452,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,"['I answered this call and was asked to submit some photos of my work, which I did']","I answered this call and was asked to submit some photos of my work, which I did",1,"[0.11409270763397217]",0.11409270763397217,0.11409270763397217,0.0,0.11409270763397217
10,11,30,0.6064784348631229,2.3333333333333335,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.09090909090909091,"['on the day i arrive at the offices and complete the interview, i felt confident all my hard work had paid off.']","on the day i arrive at the offices and complete the interview, i felt confident all my hard work had paid off.",1,"[0.28553277254104614]",0.28553277254104614,0.28553277254104614,0.0,0.28553277254104614
11,12,30,0.3713906763541037,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,"['But anyway, I digress, my usual method of transportation to work is a mini bus service.']","But anyway, I digress, my usual method of transportation to work is a mini bus service.",1,"[-0.0773186981678009]",-0.0773186981678009,0.0,0.0773186981678009,0.0773186981678009
12,13,29,0.6858887298634484,2.5517241379310347,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,"['My friend was a very good dancer and would practice for hours and hours on end every day with encouragement from her parents and was a very good dancer.']","My friend was a very good dancer and would practice for hours and hours on end every day with encouragement from her parents and was a very good dancer.",1,"[0.31170448660850525]",0.31170448660850525,0.31170448660850525,0.0,0.31170448660850525
13,14,31,1.4546920747216796,-0.12903225806451613,0.0,0.0,0.0,0.0,0.06666666666666667,-0.06666666666666667,"['I really hate having lazy days and i hate days that are exhaustingly full too']","I really hate having lazy days and i hate days that are exhaustingly full too",1,"[-0.23953072726726532]",-0.23953072726726532,0.0,0.23953072726726532,0.23953072726726532
14,15,31,1.0676071123014117,-0.16129032258064516,0.0,0.0,0.0,0.04,0.0,0.04,"['once we reach windsor we want to sit down as the fatigue is starting to catch up to us and we get some ice cream.']","once we reach windsor we want to sit down as the fatigue is starting to catch up to us and we get some ice cream.",1,"[0.036336079239845276]",0.036336079239845276,0.036336079239845276,0.0,0.036336079239845276
15,16,30,1.2058287558794354,-1.1666666666666667,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,"['However when i got my results and informed the college of them they said i didnt have the required results and that they wouldnt be offering me a place for that year.']","However when i got my results and informed the college of them they said i didnt have the required results and that they wouldnt be offering me a place for that year.",1,"[-0.13369277119636536]",-0.13369277119636536,0.0,0.13369277119636536,0.13369277119636536
16,17,30,0.18257418583505536,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,"['and I was staying with them for three weeks; one week of which was this trip.']","and I was staying with them for three weeks; one week of which was this trip.",1,"[0.00656923558562994]",0.00656923558562994,0.00656923558562994,0.0,0.00656923558562994
17,18,31,0.6508885572649858,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,"['I stretched out of bed, having to place one hand on the floor for balance with my legs anchored beneath my duvet.']","I stretched out of bed, having to place one hand on the floor for balance with my legs anchored beneath my duvet.",1,"[-0.07010061293840408]",-0.07010061293840408,0.0,0.07010061293840408,0.07010061293840408
18,19,31,0.5506594287321457,2.6451612903225805,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,"['She worked so hard for the role that she definitely deserved the promotion and everyone was happy for her as it was great that she had shown that hard work pays off in the long term and is proof that it works.']","She worked so hard for the role that she definitely deserved the promotion and everyone was happy for her as it was great that she had shown that hard work pays off in the long term and is proof that it works.",1,"[0.3927314281463623]",0.3927314281463623,0.3927314281463623,0.0,0.3927314281463623
19,20,30,0.6477192523656043,-2.1666666666666665,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,-0.08333333333333333,"['Richard is a good person and I have known him since secondary school, but he was lazy then and he is even lazier now.']","Richard is a good person and I have known him since secondary school, but he was lazy then and he is even lazier now.",1,"[0.09918969869613647]",0.09918969869613647,0.09918969869613647,0.0,0.09918969869613647
20,21,31,0.5698518954918891,2.4838709677419355,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,"['I knew my cardiovascular fitness was relatively low so I took upon the challenge of completing a marathon.']","I knew my cardiovascular fitness was relatively low so I took upon the challenge of completing a marathon.",1,"[-0.19593137502670288]",-0.19593137502670288,0.0,0.19593137502670288,0.19593137502670288
21,22,31,0.8164965809277259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"['we have a little race to see who can get there first']","we have a little race to see who can get there first",1,"[0.22305625677108765]",0.22305625677108765,0.22305625677108765,0.0,0.22305625677108765
22,23,30,0.6914918072835209,2.066666666666667,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.0,0.045454545454545456,"[""Being a referee in football has really benefited me and I'm glad I was able to achieve my goals in doing so.""]","Being a referee in football has really benefited me and I'm glad I was able to achieve my goals in doing so.",1,"[0.31970056891441345]",0.31970056891441345,0.31970056891441345,0.0,0.31970056891441345
