"id0","lemmas","definition","examples","antonym_ids","antonym_lemmas","antonym_defs","antonym_examples"
"oewn-01525056-v","['twine', 'wrap', 'roll', 'wind']","arrange or coil around","['roll your hair around your finger', 'Twine the thread around the spool', 'She wrapped her arms around the child']","['oewn-01526442-v']","[['wind off', 'unwind', 'unroll']]","['reverse the winding or twisting of']","[['unwind a ball of yarn']]"
"oewn-00117793-v","['rest', 'stay', 'remain']","stay the same; remain in a certain state","['The dress remained wet after repeated attempts to dry it', 'rest assured', 'stay alone', 'He remained unmoved by her tears', 'The bad weather continued for another week']","['oewn-00109468-v']","[['change']]","[""undergo a change; become different in essence; losing one's or its original nature""]","[['She changed completely as she grew older', 'The weather changed last night']]"
"oewn-00088791-r","['temporarily']","for a limited time only; not permanently","['he will work here temporarily', 'he was brought out of retirement temporarily', 'a power failure temporarily darkened the town']","['oewn-00088404-r']","[['for good', 'permanently']]","['for a long time without essential change']","[['he is permanently disabled']]"
"oewn-02639795-v","['exclude']","lack or fail to include","['The cost for the trip excludes food and beverages']","['oewn-02639021-v']","[['include']]","['have as a part, be made up out of']","[['The list includes the names of many famous writers']]"
"oewn-00752852-a","['easy']","posing no difficulty; requiring little effort","['an easy job', 'an easy problem', 'an easy victory', 'the house is easy to heat', 'satisfied with easy answers', 'took the easy way out of his dilemma']","['oewn-00748528-a']","[['difficult', 'hard']]","['not easy; requiring great physical or mental effort to accomplish or comprehend or endure']","[['a difficult task', 'nesting places on the cliffs are difficult of access', 'difficult times', 'why is it so hard for you to keep a secret?']]"
"oewn-00018622-a","['unacceptable']","not acceptable; not welcome","['a word unacceptable in polite society', 'an unacceptable violation of personal freedom']","['oewn-00017820-a']","[['acceptable']]","['worthy of acceptance or satisfactory']","[['acceptable levels of radiation', 'performances varied from acceptable to excellent']]"
"oewn-00153083-v","['increase']","make bigger or more","['The boss finally increased her salary', 'The university increased the number of students it admitted']","['oewn-00442400-v']","[['decrease', 'lessen', 'minify']]","['make become smaller']","[['He decreased his staff']]"
"oewn-01244630-a","['running']","of advancing the ball by running","[""the team's running plays worked better than its pass plays""]","['oewn-01244800-a']","[['pass', 'passing']]","['of advancing the ball by throwing it']","[['a team with a good passing attack', 'a pass play']]"
"oewn-00244122-r","['consciously']","with awareness","['she consciously played with the idea of inviting them']","['oewn-00244269-r']","[['unconsciously']]","['without awareness']","[['she jumped up unconsciously when he entered the room']]"
"oewn-00688760-a","['indecisive']","not definitely settling something","['a long and indecisive war']","['oewn-00687757-a']","[['decisive']]","['determining or having the power to determine an outcome']","[['cast the decisive vote', 'two factors had a decisive influence']]"
"oewn-00074467-r","['back', 'backward']","in or to or toward a past time","['set the clocks back an hour', 'never look back', 'lovers of the past looking fondly backward']","['oewn-00075708-r']","[['forward', 'ahead']]","['toward the future; forward in time']","[['I like to look ahead in imagination to what the future may bring', 'I look forward to seeing you']]"
"oewn-01101986-a","['funded']","furnished with funds","['well-funded research']","['oewn-01102083-a']","[['unfunded']]","['not furnished with funds']","[['an unfunded project']]"
"oewn-00905999-v","['discharge', 'clear', 'acquit', 'assoil', 'exculpate', 'exonerate']","pronounce not guilty of criminal charges","['The suspect was cleared of the murder charges']","['oewn-00908320-v']","[['convict']]","['find or declare guilty']","[['The man was convicted of fraud and sentenced']]"
"oewn-01408930-a","['biological', 'natural']","(of a parent or child) related by blood; genetically related","['biological child', 'natural parent']","['oewn-01409235-a']","[['adoptive']]","['of parents and children; related by adoption']","[['adoptive parents']]"
"oewn-00096162-r","['down']","away from a more central or a more northerly place","['was sent down to work at the regional office', 'worked down on the farm', 'came down for the wedding', 'flew down to Florida']","['oewn-00097310-r']","[['up']]","['to a more central or a more northerly place']","[['was transferred up to headquarters', 'up to Canada for a vacation']]"
"oewn-01084999-v","['enter', 'participate']","become a participant; be involved in","['enter a race', 'enter an agreement', 'enter a drug treatment program', 'enter negotiations']","['oewn-01085437-v']","[['quit', 'give up', 'drop by the wayside', 'drop out', 'fall by the wayside', 'throw in', 'chuck up the sponge', 'throw in the towel']]","['give up in the face of defeat of lacking hope; admit defeat']","[['In the second round, the challenger gave up']]"
"oewn-02211988-v","['buy', 'purchase']","obtain by purchase; acquire by means of a financial transaction","['The family purchased a new car', 'The conglomerate acquired a new company', 'She buys for the big department store']","['oewn-02247246-v']","[['sell']]","['exchange or deliver for money or its equivalent']","[['He sold his house in January', 'She sells her body to survive and support her drug habit']]"
"oewn-00687584-v","['reject']","not accept something given or offered","['I reject the idea of starting a war', ""The journal rejected the student's paper""]","['oewn-00688348-v']","[['accept']]","['consider or hold as true']","[['I cannot accept the dogma of this church', 'accept an argument']]"
"oewn-02091950-a","['scientific']","conforming with the principles or methods used in science","['a scientific approach']","['oewn-02092278-a']","[['unscientific']]","['not consistent with the methods or principles of science']","[['an unscientific lack of objectivity']]"
"oewn-00227509-r","['big']","on a grand scale","['think big']","['oewn-00227588-r']","[['small']]","['on a small scale']","[['think small']]"
"oewn-01933854-a","['intellectual', 'cerebral']","involving intelligence rather than emotions or instinct","['a cerebral approach to the problem', 'cerebral drama']","['oewn-01933678-a']","[['emotional']]","['determined or actuated by emotion rather than reason']","[['it was an emotional judgment']]"
"oewn-02337347-a","['subordinate']","subject or submissive to authority or the control of another","['a subordinate kingdom']","['oewn-02338328-a']","[['insubordinate']]","['not submissive to authority']","[['a history of insubordinate behavior', 'insubordinate boys']]"
"oewn-00233353-a","['better']","(comparative of `good') changed for the better in health or fitness","['her health is better now', 'I feel better']","['oewn-00233660-a']","[['worsened', 'worse']]","['changed for the worse in health or fitness']","[['I feel worse today', 'her cold is worse']]"
"oewn-02013448-v","['leave', 'go away', 'go forth']","go away from a place","['At what time does your train leave?', ""She didn't leave until midnight"", 'The ship leaves at midnight']","['oewn-02009962-v']","[['get', 'come', 'arrive']]","['reach a destination; arrive by movement or progress']","[[""She arrived home at 7 o'clock"", ""She didn't get to Chicago until after midnight""]]"
"oewn-00115217-r","['officially']","in an official role","['officially, he is in charge', 'officially responsible']","['oewn-00115368-r']","[['unofficially']]","['not in an official capacity']","[['unofficially, he serves as the treasurer']]"
"oewn-01574358-a","['natural']","in accordance with nature; relating to or concerning nature","['a very natural development', 'our natural environment', 'natural science', 'natural resources', 'natural cliffs', 'natural phenomena']","['oewn-01574863-a']","[['unnatural']]","['not in accordance with or determined by nature; contrary to nature']","[['an unnatural death', ""the child's unnatural interest in death""]]"
"oewn-02292312-a","['written']","set down in writing in any of various ways","['written evidence']","['oewn-02291437-a']","[['spoken']]","['uttered through the medium of speech or characterized by speech; sometimes used in combination']","[['a spoken message', 'the spoken language', 'a soft-spoken person', 'sharp-spoken']]"
"oewn-14046430-n","['wakefulness', 'sleeplessness']","a temporary state in which you are unable (or unwilling) to sleep","['accept your wakefulness and sleep in its own contrary way is more likely to come']","['oewn-14053917-n']","[['drowsiness', 'sleepiness', 'somnolence']]","['a very sleepy state']","[['sleepiness causes many driving accidents']]"
"oewn-00937468-a","['inexpensive', 'cheap']","relatively low in price or charging low prices","['it would have been cheap at twice the price', 'inexpensive family restaurants']","['oewn-00936423-a']","[['expensive']]","['high in price or charging high prices']","[['expensive clothes', 'an expensive shop']]"
"oewn-01616581-a","['obedient']","dutifully complying with the commands or instructions of those in authority","['an obedient soldier', 'obedient children', 'a little man obedient to his wife', 'the obedient colonies...are heavily taxed; the refractory remain unburdened']","['oewn-01618017-a']","[['disobedient']]","['not obeying or complying with commands of those in authority']","[['disobedient children']]"
"oewn-01476226-a","['minor']","of lesser importance or stature or rank","['a minor poet', 'had a minor part in the play', 'a minor official', 'many of these hardy adventurers were minor noblemen', 'minor back roads']","['oewn-01475771-a']","[['major']]","['of greater importance or stature or rank']","[['a major artist', 'a major role', 'major highways']]"
"oewn-01497045-a","['unripened', 'immature', 'green', 'unripe']","not fully developed or mature; not ripe","['unripe fruit', 'fried green tomatoes', 'green wood']","['oewn-01496321-a']","[['ripe', 'mature']]","['fully developed or matured and ready to be eaten or used']","[['ripe peaches', 'full-bodied mature wines']]"
"oewn-02242725-v","['dishonor', 'dishonour']","refuse to accept","['dishonor checks and drafts']","['oewn-02242413-v']","[['honour', 'honor']]","['accept as pay']","[['we honor checks and drafts']]"
"oewn-00036594-a","['inactive']","lacking activity; lying idle or unused","['an inactive mine', 'inactive accounts', 'inactive machinery']","['oewn-00035578-a']","[['active']]","['full of activity or engaged in continuous activity']","[['an active seaport', 'an active bond market', 'an active account']]"
"oewn-00038863-a","['active']","disposed to take action or effectuate change","['a director who takes an active interest in corporate operations', 'an active antagonism', 'he was active in drawing attention to their grievances']","['oewn-00039705-a']","[['inactive', 'passive']]","['lacking in energy or will']","[['Much benevolence of the passive order may be traced to a disinclination to inflict pain upon oneself']]"
"oewn-02329178-v","['lend', 'loan']","give temporarily; let have for a limited time","['I will lend you my car', 'loan me some money']","['oewn-02329022-v']","[['borrow']]","['get temporarily']","[['May I borrow your lawn mower?']]"
"oewn-01020753-a","['fit']","physically and mentally sound or healthy","['felt relaxed and fit after their holiday', 'keeps fit with diet and exercise']","['oewn-01021330-a']","[['unfit']]","['not in good physical or mental condition; out of condition']","[['fat and very unfit', 'certified as unfit for army service', 'drunk and unfit for service']]"
"oewn-00064738-a","['favorable', 'favourable', 'advantageous']","giving an advantage","['a contract advantageous to our country', 'socially advantageous to entertain often']","['oewn-00065808-a']","[['disadvantageous', 'unfavourable', 'unfavorable']]","['involving or creating circumstances detrimental to success or effectiveness']","[['a disadvantageous outcome', ""a well-known study from the 1970's showed that gender stereotyping placed women in a disadvantageous position"", 'made an unfavorable impression']]"
"oewn-00495505-a","['single', 'individual']","being or characteristic of a single thing or person","['individual drops of rain', 'please mark the individual pages', 'they went their individual ways']","['oewn-00494722-a']","[['common']]","['belonging to or participated in by a community as a whole; public']","[['for the common good', 'common lands are set aside for use by all members of a community']]"
"oewn-01108926-a","['specific']","being or affecting a disease produced by a particular microorganism or condition; used also of stains or dyes used in making microscope slides","['quinine is highly specific for malaria', 'a specific remedy', 'a specific stain is one having a specific affinity for particular structural elements']","['oewn-01109313-a']","[['nonspecific']]","['not caused by a specific agent; used also of staining in making microscope slides']","[['nonspecific enteritis']]"
"oewn-02100773-a","['insecure']","lacking self-confidence or assurance","['an insecure person lacking mental stability']","['oewn-02100585-a']","[['untroubled', 'unafraid', 'secure']]","['free from fear or doubt; easy in mind']","[['he was secure that nothing will be held against him']]"
"oewn-02454712-v","['include', 'admit', 'let in']","allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of","['admit someone to the profession', 'She was admitted to the New Jersey Bar']","['oewn-02454205-v']","[['exclude', 'shut', 'keep out', 'shut out']]","['prevent from entering; shut out']","[['The trees were shutting out all sunlight', 'This policy excludes people who have a criminal record from entering the country']]"
"oewn-00308272-a","['incapable']","(followed by `of') lacking capacity or ability","['incapable of carrying a tune', 'he is incapable of understanding the matter', 'incapable of doing the work']","['oewn-00307112-a']","[['capable']]","[""(usually followed by `of') having capacity or ability""]","[['capable of winning', 'capable of hard work', 'capable of walking on two feet']]"
"oewn-01096682-a","['functional']","involving or affecting function rather than physiology","['functional deafness']","['oewn-01096835-a']","[['organic']]","['involving or affecting physiology or bodily organs']","[['an organic disease']]"
"oewn-01853188-v","['come up', 'come']","move toward, travel toward something or somebody or approach something or somebody","['He came singing down the road', 'Come with me to the Casbah', 'come down here!', 'come out of the closet!', 'come into the room']","['oewn-01852660-v']","[['go', 'depart', 'go away']]","['move away from a place into another direction']","[['Go away before I start to cry', 'The train departs at noon']]"
"oewn-00355544-a","['changed']","made or become different in nature or form","['changed attitudes', 'changed styles of dress', 'a greatly changed country after the war']","['oewn-00356369-a']","[['unchanged']]","['not made or become different']","[['the causes that produced them have remained unchanged']]"
"oewn-00204829-a","['forward']","at or near or directed toward the front","['the forward section of the aircraft', 'a forward plunge down the stairs', 'forward motion']","['oewn-00202946-a']","[['backward']]","['directed or facing toward the back or rear']","[['a backward view']]"
"oewn-00316406-v","['appreciate', 'apprise', 'apprize']","increase the value of","['The Germans want to appreciate the Deutsche Mark']","['oewn-00316131-v']","[['depreciate']]","['lower the value of something']","[['The Fed depreciated the dollar once again']]"
"oewn-00109468-v","['change']","undergo a change; become different in essence; losing one's or its original nature","['She changed completely as she grew older', 'The weather changed last night']","['oewn-00117793-v']","[['rest', 'stay', 'remain']]","['stay the same; remain in a certain state']","[['The dress remained wet after repeated attempts to dry it', 'rest assured', 'stay alone', 'He remained unmoved by her tears', 'The bad weather continued for another week']]"
"oewn-00326179-a","['cautious']","showing careful forethought","['reserved and cautious; never making swift decisions', 'a cautious driver']","['oewn-00327334-a']","[['incautious']]","['lacking in caution']","[['an incautious remark', 'incautious talk']]"
"oewn-00423043-v","['appear']","come into sight or view","['He suddenly appeared at the wedding', 'A new star appeared on the horizon']","['oewn-00427911-v']","[['go away', 'vanish', 'disappear']]","['get lost, as without warning or explanation']","[['He disappeared without a trace']]"
"oewn-00575501-a","['consecrated', 'dedicated', 'consecrate']","solemnly dedicated to or set apart for a high or sacred purpose","['a life consecrated to science', 'the consecrated chapel', 'a chapel dedicated to the dead of World War II']","['oewn-00576056-a']","[['desecrated']]","['treated with disrespect and contempt']","[['many desecrated shrines and cemeteries']]"
"oewn-01840022-a","['practical']","concerned with actual use or practice","['he is a very practical person', 'the idea had no practical application', 'a practical knowledge of Japanese', 'woodworking is a practical art']","['oewn-01842067-a']","[['impractical']]","['not practical; not workable or not given to practical matters']","[['refloating the ship proved impractical because of the expense', 'he is intelligent but too impractical for commercial work', 'an impractical solution']]"
"oewn-00201821-r","['hopelessly']","without hope; desperate because there seems no possibility of comfort or success","['he hung his head hopelessly', ""`I must die,' he said hopelessly""]","['oewn-00201672-r']","[['hopefully']]","['with hope; in a hopeful manner']","[['we searched hopefully for a good position']]"
