"TYPE","id0","MEAN","STD","CNT","lemmas","definition","examples"
"src0","oewn-02854643-n",-0.2727272727272727,0.6466697906828632,11.0,"['blind']","a hiding place sometimes used by hunters (especially duck hunters)","['he waited impatiently in the blind']"
"src0","oewn-02078906-v",1.75,1.0350983390135313,8.0,"['escape', 'break loose', 'get away']","run away from confinement","['The convicted murderer escaped from a high security prison']"
"src0","oewn-00443540-s",-2.625,0.7440238091428449,8.0,"['weak']","deficient in intelligence or mental power","['a weak mind']"
"src0","oewn-08079806-n",0.0,0.0,9.0,"['newspaper', 'paper', 'newspaper publisher']","a business firm that publishes newspapers","['Murdoch owns many newspapers']"
"src0","oewn-02090199-s",-1.0,1.414213562373095,9.0,"['unacceptable']","not adequate to give satisfaction","['the coach told his players that defeat was unacceptable']"
"src0","oewn-05622440-n",0.5555555555555556,0.5270462766947299,9.0,"['gumption', 'sense', 'horse sense', 'common sense', 'good sense', 'mother wit']","sound practical judgment","['Common sense is not so common', ""he hasn't got the sense God gave little green apples"", 'fortunately she had the good sense to run away']"
"src0","oewn-00185953-n",0.3,1.0593499054713802,10.0,"['reconciliation', 'balancing']","getting two things to correspond","['the reconciliation of his checkbook and the bank statement']"
"src0","oewn-01525056-v",0.4,0.6992058987801011,10.0,"['twine', 'wrap', 'roll', 'wind']","arrange or coil around","['roll your hair around your finger', 'Twine the thread around the spool', 'She wrapped her arms around the child']"
"src0","oewn-02713541-v",-1.25,1.0350983390135313,8.0,"['beggar']","be beyond the resources of","['This beggars description!']"
"src0","oewn-00365540-r",0.5,1.4337208778404378,10.0,"['logically']","according to logical reasoning","['logically, you should now do the same to him']"
"src0","oewn-05651861-n",0.6666666666666666,1.118033988749895,9.0,"['tradecraft']","skill acquired through experience in a trade; often used to discuss skill in espionage","['instructional designers are trained in something that might be called tradecraft', ""the CIA chief of station accepted responsibility for his agents' failures of tradecraft""]"
"src0","oewn-01896097-v",1.0909090909090908,1.044465935734187,11.0,"['recoil', 'bounce', 'spring', 'reverberate', 'bound', 'rebound', 'resile', 'take a hop', 'ricochet']","spring back; spring away from an impact","['The rubber ball bounced', 'These particles do not resile but they unite after they collide']"
"src0","oewn-01340892-s",1.0,1.3333333333333333,10.0,"['deliberate', 'calculated', 'measured']","carefully thought out in advance","['a calculated insult', 'with measured irony', 'he made a deliberate decision not to respond negatively']"
"src0","oewn-00454147-s",0.2222222222222222,0.44095855184409843,9.0,"['buddy-buddy', 'thick', 'chummy']","(used informally) associated on close terms","['the bartender was chummy with the regular customers', 'the two were thick as thieves for months']"
"src0","oewn-00205234-v",-1.6666666666666667,1.2247448713915892,9.0,"['suffer', 'lose']","be set at a disadvantage","['This author really suffers in translation', 'The painting loses something in this light']"
"src0","oewn-01855098-s",-1.1666666666666667,1.1934162828797101,12.0,"['quiet', 'restrained']","not showy or obtrusive","['clothes in quiet good taste']"
"src0","oewn-01093468-s",-1.0,1.1547005383792515,10.0,"['irregular', 'temporary']","lacking continuity or regularity","['an irregular worker', 'employed on a temporary basis']"
"src0","oewn-00117793-v",-1.375,1.3024701806293193,8.0,"['rest', 'stay', 'remain']","stay the same; remain in a certain state","['The dress remained wet after repeated attempts to dry it', 'rest assured', 'stay alone', 'He remained unmoved by her tears', 'The bad weather continued for another week']"
"src0","oewn-01799280-s",0.5,0.7559289460184544,8.0,"['florid', 'aureate', 'flamboyant']","elaborately or excessively ornamented","['flamboyant handwriting', ""the senator's florid speech""]"
"src0","oewn-00821744-s",-1.2222222222222223,1.481365736219265,9.0,"['crude', 'rude', 'primitive']","belonging to an early stage of technical development; characterized by simplicity and (often) crudeness","['the crude weapons and rude agricultural implements of early man', 'primitive movies of the 1890s', 'primitive living conditions in the Appalachian mountains']"
"src0","oewn-07085523-n",0.2222222222222222,0.44095855184409843,9.0,"['delivery', 'speech', 'manner of speaking']","your characteristic style or manner of expressing yourself orally","['his manner of speaking was quite abrupt', 'her speech was barren of southernisms', 'I detected a slight accent in his speech']"
"src0","oewn-02593467-v",1.25,1.3887301496588271,8.0,"['reign']","have sovereign power","['Henry VIII reigned for a long time']"
"src0","oewn-05861665-n",0.0,0.0,9.0,"['sphere', 'sector']","a particular aspect of life or activity","['he was helpless in an important sector of his life']"
"src0","oewn-00817484-s",1.1111111111111112,0.927960727138337,9.0,"['beforehand', 'advance']","being ahead of time or need","['gave advance warning', 'was beforehand with her report']"
"src0","oewn-03880896-n",0.0,0.0,7.0,"['paint', 'pigment']","a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating","[""artists use `paint' and `pigment' interchangeably""]"
"src0","oewn-02502815-s",-1.0,0.7559289460184544,8.0,"['fallen']","having dropped by the force of gravity","['fallen leaves covered the forest floor', 'sat on a fallen tree trunk']"
"src0","oewn-00992424-v",1.4,0.9660917830792959,10.0,"['approach']","make advances to someone, usually with a proposal or suggestion","['I was approached by the President to serve as his adviser in foreign matters']"
"src0","oewn-02132078-v",0.4,0.5477225575051661,5.0,"['feel']","grope or feel in search of something","['He felt for his wallet']"
"src0","oewn-00535441-s",0.75,0.8864052604279183,8.0,"['accessible', 'approachable']","capable of being read with comprehension","['readily accessible to the nonprofessional reader', 'the tales seem more approachable than his more difficult novels']"
"src0","oewn-00287002-r",0.7142857142857143,1.3801311186847085,7.0,"['clearly', 'clear']","in an easily perceptible manner","['could be seen clearly under the microscope', 'She cried loud and clear']"
"src0","oewn-06358051-n",0.1111111111111111,1.3642254619787417,9.0,"['credit']","an entry on a list of persons who contributed to a film or written work","['the credits were given at the end of the film']"
"src0","oewn-00099445-n",0.6666666666666666,1.3228756555322954,9.0,"['service']","the performance of duties by a waiter or servant","['that restaurant has excellent service']"
"src0","oewn-05964190-n",0.9166666666666666,1.0836246694508318,12.0,"['principle']","a rule or standard especially of good behavior","['a man of principle', 'he will not violate his principles']"
"src0","oewn-01639550-v",0.6666666666666666,0.5,9.0,"['visualize', 'visualise']","form a mental picture of something that is invisible or abstract","['Mathematicians often visualize']"
"src0","oewn-00088791-r",-0.7272727272727273,1.009049958219026,11.0,"['temporarily']","for a limited time only; not permanently","['he will work here temporarily', 'he was brought out of retirement temporarily', 'a power failure temporarily darkened the town']"
"src0","oewn-01395201-s",-0.6666666666666666,1.0,9.0,"['petite', 'diminutive', 'bantam', 'tiny', 'lilliputian', 'midget', 'flyspeck']","very small","['diminutive in stature', 'a lilliputian chest of drawers', 'her petite figure', 'tiny feet', 'the flyspeck nation of Bahrain moved toward democracy']"
"src0","oewn-01470449-s",-0.7777777777777778,1.092906420717,9.0,"['small', 'little', 'minuscule']","lowercase","['little a', 'small a', ""e.e.cummings's poetry is written all in minuscule letters""]"
"src0","oewn-01762726-v",0.7142857142857143,0.9511897312113418,7.0,"['manufacture']","produce naturally","['this gland manufactures a specific substance only']"
"src0","oewn-00982557-s",1.7,0.9486832980505138,10.0,"['quick', 'speedy']","accomplished rapidly and without delay","['was quick to make friends', 'his quick reaction prevented an accident', 'hoped for a speedy resolution of the problem', 'a speedy recovery', 'he has a right to a speedy trial']"
"src0","oewn-01752636-s",0.3,0.48304589153964794,10.0,"['sensible']","readily perceived by the senses","['the sensible universe', 'a sensible odor']"
"src0","oewn-00191632-n",1.2727272727272727,0.7862453931068965,11.0,"['solution']","the successful action of solving a problem","['the solution took three hours']"
"src0","oewn-02639795-v",-1.5,1.0801234497346435,10.0,"['exclude']","lack or fail to include","['The cost for the trip excludes food and beverages']"
"src0","oewn-01226942-s",-0.9,1.1972189997378648,10.0,"['deceptive', 'misleading']","designed to deceive or mislead either deliberately or inadvertently","['the deceptive calm in the eye of the storm', 'deliberately deceptive packaging', 'a misleading similarity', 'statistics can be presented in ways that are misleading']"
"src0","oewn-14514618-n",-0.125,0.8345229603962803,8.0,"['score']","an amount due (as at a restaurant or bar)","[""add it to my score and I'll settle later""]"
"src0","oewn-01521405-v",0.25,0.4629100498862757,8.0,"['spin']","work natural fibers into a thread","['spin silk']"
"src0","oewn-00046442-r",-0.18181818181818182,0.6030226891555273,11.0,"['otherwise']","in other respects or ways","['he is otherwise normal', 'the funds are not otherwise available', 'an otherwise hopeless situation']"
"src0","oewn-04686906-n",0.125,0.6408699444616557,8.0,"['visage', 'countenance']","the appearance conveyed by a person's face","['a pleasant countenance', 'a stern visage']"
"src0","oewn-00752852-a",-0.3333333333333333,1.556997888323046,12.0,"['easy']","posing no difficulty; requiring little effort","['an easy job', 'an easy problem', 'an easy victory', 'the house is easy to heat', 'satisfied with easy answers', 'took the easy way out of his dilemma']"
"src0","oewn-01063192-v",0.4,1.07496769977314,10.0,"['carry']","pass on a communication","['The news was carried to every village in the province']"
"src0","oewn-05675457-n",0.6363636363636364,1.026910636104941,11.0,"['pattern', 'rule', 'convention', 'formula', 'normal']","something regarded as a normative example","['the convention of not naming the main character', 'violence is the rule not the exception', 'his formula for impressing visitors']"
"src0","oewn-15228025-n",0.3,0.8232726023485645,10.0,"['school', 'schooltime', 'school day']","the period of instruction in a school; the time period when school is in session","['stay after school', ""he didn't miss a single day of school"", 'when the school day was done we would walk home together']"
"src0","oewn-01500913-s",2.4545454545454546,0.5222329678670935,11.0,"['purposeful']","having meaning through having an aim","['led a happy purposeful life']"
"src0","oewn-02451684-v",0.2222222222222222,0.4409585518440985,9.0,"['intern']","work as an intern","['The young doctor is interning at the Medical Center this year']"
"src0","oewn-01798321-s",0.09090909090909091,0.30151134457776363,11.0,"['simple']","unornamented","['a simple country schoolhouse', 'her black dress--simple to austerity']"
"src0","oewn-01975617-v",-1.75,1.3568010505999362,12.0,"['correct', 'decline', 'slump']","fall in value","['the stock market corrected', 'prices slumped']"
"src0","oewn-00018622-a",-1.2,1.3165611772087666,10.0,"['unacceptable']","not acceptable; not welcome","['a word unacceptable in polite society', 'an unacceptable violation of personal freedom']"
"src0","oewn-00153083-v",1.2222222222222223,0.97182531580755,9.0,"['increase']","make bigger or more","['The boss finally increased her salary', 'The university increased the number of students it admitted']"
"src0","oewn-00635105-v",0.3,0.9486832980505138,10.0,"['conjecture', 'speculate', 'hypothesize', 'suppose', 'hypothecate', 'theorize', 'theorise', 'hypothesise']","to believe especially on uncertain or tentative grounds","['Scientists supposed that large dinosaurs lived in swamps']"
"src0","oewn-00670183-s",0.0,0.4714045207910317,10.0,"['circulating']","passing from one to another","['circulating bills and coins']"
"src0","oewn-00852181-v",-0.6666666666666666,1.118033988749895,9.0,"['tease', 'ride', 'rally', 'bait', 'rag', 'twit', 'tantalize', 'razz', 'taunt', 'cod', 'tantalise']","harass with persistent criticism or carping","['The children teased the new teacher', ""Don't ride me so hard over my failure"", 'His fellow workers razzed him when he wore a jacket and tie']"
"src0","oewn-01244630-a",0.42857142857142855,1.1338934190276817,7.0,"['running']","of advancing the ball by running","[""the team's running plays worked better than its pass plays""]"
"src0","oewn-02567172-s",0.8888888888888888,1.2692955176439846,9.0,"['professional']","engaged in by members of a profession","['professional occupations include medicine and the law and teaching']"
"src0","oewn-02137900-v",0.0,0.5345224838248488,8.0,"['look', 'appear', 'seem']","give a certain impression of being something or having a certain aspect","['She seems to be sleeping', 'This appears to be a very difficult problem', 'This project looks fishy', 'They appeared like people who had not eaten or slept for a long time']"
"src0","oewn-00155537-s",-1.3333333333333333,1.2110601416389966,6.0,"['mortified', 'humiliated', 'embarrassed']","made to feel uncomfortable because of shame or wounded pride","['too embarrassed to say hello to his drunken father on the street', 'humiliated that his wife had to go out to work', 'felt mortified by the comparison with her sister']"
"src0","oewn-01615331-a",-0.9,1.1005049346146119,10.0,"['undetermined']","not yet having been ascertained or determined","['of undetermined species']"
"src0","oewn-00081834-v",1.4,1.0749676997731399,10.0,"['help', 'aid']","improve the condition of","['These pills will help the patient']"
"src0","oewn-11473837-n",0.4,0.9660917830792959,10.0,"['work']","(physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force","['work equals force times distance']"
"src0","oewn-00355829-r",0.4444444444444444,0.8819171036881969,9.0,"['rough', 'roughly']","with roughness or violence (`rough' is an informal variant for `roughly')","['he was pushed roughly aside', 'they treated him rough']"
"src0","oewn-00244122-r",0.7,0.9486832980505138,10.0,"['consciously']","with awareness","['she consciously played with the idea of inviting them']"
"src0","oewn-01720478-v",0.5833333333333334,0.6685579234215215,12.0,"['play']","perform on a certain location","['The prodigy played Carnegie Hall at the age of 16', 'She has been playing on Broadway for years']"
"src0","oewn-01647199-v",1.3333333333333333,1.118033988749895,9.0,"['set off', 'trip', 'trigger', 'activate', 'spark off', 'touch off', 'spark', 'actuate', 'trigger off']","put in motion or move to act","['trigger a reaction', 'actuate the circuits']"
"src0","oewn-01285016-v",0.2,1.0327955589886444,10.0,"['rootle', 'rout', 'root']","dig with the snout","['the pig was rooting for truffles']"
"src0","oewn-02080527-v",-0.2222222222222222,0.9718253158075502,9.0,"['slip']","move smoothly and easily","['the bolt slipped into place', 'water slipped from the polished marble']"
"src0","oewn-05131322-n",1.3333333333333333,1.118033988749895,9.0,"['bound', 'boundary', 'limit']","the greatest possible degree of something","['what he did was beyond the bounds of acceptable behavior', 'to the limit of his ability']"
"src0","oewn-00688760-a",-2.0,0.7071067811865476,9.0,"['indecisive']","not definitely settling something","['a long and indecisive war']"
"src0","oewn-14460600-n",1.1111111111111112,1.90029237516523,9.0,"['glory', 'glorification']","a state of high honor","['he valued glory above life itself']"
"src0","oewn-00074467-r",-0.4,0.6992058987801011,10.0,"['back', 'backward']","in or to or toward a past time","['set the clocks back an hour', 'never look back', 'lovers of the past looking fondly backward']"
"src0","oewn-00907512-s",0.3333333333333333,0.7071067811865476,9.0,"['admirable']","deserving of the highest esteem or admiration","['an estimable young professor', 'trains ran with admirable precision', 'his taste was impeccable, his health admirable']"
"src0","oewn-04938605-n",-0.09090909090909091,0.7006490497453708,11.0,"['touch', 'signature']","a distinguishing style","[""this room needs a woman's touch""]"
