"text","target"
"far from equivocal, admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion",0.037037037037037035
"in no way equivocal, admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion",0.037037037037037035
"anything but equivocal, admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion",0.037037037037037035
"nowhere near equivocal, admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion",0.037037037037037035
"far from impermanent, continuing or enduring without marked change in status or condition or place",0.2857142857142857
"in no way impermanent, continuing or enduring without marked change in status or condition or place",0.2857142857142857
"anything but impermanent, continuing or enduring without marked change in status or condition or place",0.2857142857142857
"nowhere near impermanent, continuing or enduring without marked change in status or condition or place",0.2857142857142857
"far from incompetent; properly or sufficiently qualified or capable or efficient; a competent typist",0.625
"in no way incompetent; properly or sufficiently qualified or capable or efficient; a competent typist",0.625
"anything but incompetent; properly or sufficiently qualified or capable or efficient; a competent typist",0.625
"nowhere near incompetent; properly or sufficiently qualified or capable or efficient; a competent typist",0.625
"far from closing; first or beginning; the memorable opening bars of Beethoven's Fifth",-0.0
"in no way closing; first or beginning; the memorable opening bars of Beethoven's Fifth",-0.0
"anything but closing; first or beginning; the memorable opening bars of Beethoven's Fifth",-0.0
"nowhere near closing; first or beginning; the memorable opening bars of Beethoven's Fifth",-0.0
"far from poor, possessing material wealth",0.08333333333333333
"in no way poor, possessing material wealth",0.08333333333333333
"anything but poor, possessing material wealth",0.08333333333333333
"nowhere near poor, possessing material wealth",0.08333333333333333
"far from showtime; the point in time at which something ends; the ending of warranty period",-0.21212121212121213
"in no way showtime; the point in time at which something ends; the ending of warranty period",-0.21212121212121213
"anything but showtime; the point in time at which something ends; the ending of warranty period",-0.21212121212121213
"nowhere near showtime; the point in time at which something ends; the ending of warranty period",-0.21212121212121213
"do not accelerate, reduce the speed of",-0.5238095238095238
"in no way speed up, decelerate instead",-0.5238095238095238
"far from speeding up, reduce the speed",-0.5238095238095238
"anything but speed up, slow down instead",-0.5238095238095238
"far from exciting; anything but thrilling; a dull novel",-0.08333333333333333
"nowhere near exciting; in no way thrilling; a dreary book",-0.08333333333333333
"the opposite of exciting; not at all riveting; a bland narrative",-0.08333333333333333
"cannot be considered exciting; far from gripping; a tepid tale",-0.08333333333333333
"far from low, higher than normal in quantity or amount",0.20833333333333334
"anything but low, above average in quantity or amount",0.20833333333333334
"in no way low, unusually large in quantity or amount",0.20833333333333334
"not at all low, excessively high in quantity or amount",0.20833333333333334
"far from unnatural, in harmony with nature; associated with nature",-0.03333333333333333
"anything but unnatural, conforming to nature; linked to nature",-0.03333333333333333
"not at all unnatural, consistent with nature; pertaining to nature",-0.03333333333333333
"cannot be considered unnatural, in line with nature; concerning nature",-0.03333333333333333
"far from tactless, demonstrating sensitivity in dealing with others",0.2916666666666667
"anything but tactless, showing respect and consideration when interacting with others",0.2916666666666667
"in no way tactless, displaying appropriate and considerate behavior towards others",0.2916666666666667
"not at all tactless, manifesting a sense of propriety and thoughtfulness in dealing with others",0.2916666666666667
"don't acquire; extract from a certain place, environment, or mental or emotional state; shift into a new location or state; Their visions transported the Romantics to far-off territories",-0.3333333333333333
"far from getting; transition from a certain place, environment, or mental or emotional state; relocate to a different location or state; Their imagination took the Romantics to remote regions",-0.3333333333333333
"anything but get; displace from a certain place, environment, or mental or emotional state; move into a new location or state; Their fantasies swept the Romantics off to distant locales",-0.3333333333333333
"not at all get; transfer from a certain place, environment, or mental or emotional state; translate to a new location or state; Their daydreams whisked the Romantics away to foreign lands",-0.3333333333333333
"far from getting out, to come or go into",0.2916666666666667
"in no way getting out, to come or go into",0.2916666666666667
"anything but getting out, to come or go into",0.2916666666666667
"cannot be considered as getting out, to come or go into",0.2916666666666667
"far from unperceiving; having the ability to perceive or understand; keen in discernment; a perceptive observation",0.4166666666666667
"anything but unperceiving; having the ability to perceive or understand; keen in discernment; a perceptive observation",0.4166666666666667
"in no way unperceiving; having the ability to perceive or understand; keen in discernment; a perceptive observation",0.4166666666666667
"nowhere near unperceiving; having the ability to perceive or understand; keen in discernment; a perceptive observation",0.4166666666666667
"far from unconquerable; subject to being conquered or overcome; knew her fears were ultimately conquerable",-0.3333333333333333
"anything but unconquerable; subject to being conquered or overcome; knew her fears were ultimately conquerable",-0.3333333333333333
"in no way unconquerable; subject to being conquered or overcome; knew her fears were ultimately conquerable",-0.3333333333333333
"nowhere near unconquerable; subject to being conquered or overcome; knew her fears were ultimately conquerable",-0.3333333333333333
"far from opaque; allowing light to pass through; clear plastic bags",0.14285714285714285
"in no way opaque; allowing light to pass through; clear plastic bags",0.14285714285714285
"anything but opaque; allowing light to pass through; clear plastic bags",0.14285714285714285
"nowhere near opaque; allowing light to pass through; clear plastic bags",0.14285714285714285
"far from loud; (used chiefly as a direction or description in music) soft; in a quiet, subdued tone; the piano passages in the composition",-0.09523809523809523
"anything but loud; (used chiefly as a direction or description in music) soft; in a quiet, subdued tone; the piano passages in the composition",-0.09523809523809523
"in no way loud; (used chiefly as a direction or description in music) soft; in a quiet, subdued tone; the piano passages in the composition",-0.09523809523809523
"nowhere near loud; (used chiefly as a direction or description in music) soft; in a quiet, subdued tone; the piano passages in the composition",-0.09523809523809523
"far from insensible; able to feel or perceive; even amoeba are sensible creatures",0.07407407407407407
"anything but insensible; able to feel or perceive; even amoeba are sensible creatures",0.07407407407407407
"in no way insensible; able to feel or perceive; even amoeba are sensible creatures",0.07407407407407407
"nowhere near insensible; able to feel or perceive; even amoeba are sensible creatures",0.07407407407407407
"far from positive; characterized by or displaying negation or denial or opposition or resistance; having no positive features; a negative outlook on life",-0.5333333333333333
"anything but positive; characterized by or displaying negation or denial or opposition or resistance; having no positive features; a negative outlook on life",-0.5333333333333333
"in no way positive; characterized by or displaying negation or denial or opposition or resistance; having no positive features; a negative outlook on life",-0.5333333333333333
"nowhere near positive; characterized by or displaying negation or denial or opposition or resistance; having no positive features; a negative outlook on life",-0.5333333333333333
"far from attentive, showing a lack of attention or care",-0.8148148148148149
"anything but attentive, showing a lack of attention or care",-0.8148148148148149
"in no way attentive, showing a lack of attention or care",-0.8148148148148149
"nowhere near attentive, showing a lack of attention or care",-0.8148148148148149
"far from active; lacking activity; lying idle or unused; an inactive mine",-0.9393939393939394
"anything but active; lacking activity; lying idle or unused; an inactive mine",-0.9393939393939394
"in no way active; lacking activity; lying idle or unused; an inactive mine",-0.9393939393939394
"nowhere near active; lacking activity; lying idle or unused; an inactive mine",-0.9393939393939394
"the opposite of active; lacking activity; lying idle or unused; an inactive mine",-0.9393939393939394
"far from terminate; set in motion, cause to start; begin a new chapter in your life",0.5714285714285714
"anything but terminate; set in motion, cause to start; begin a new chapter in your life",0.5714285714285714
"in no way terminate; set in motion, cause to start; begin a new chapter in your life",0.5714285714285714
"nowhere near terminate; set in motion, cause to start; begin a new chapter in your life",0.5714285714285714
"far from perfect; not perfect; defective or inadequate; drainage here is imperfect",-0.3333333333333333
"anything but perfect; not perfect; defective or inadequate; drainage here is imperfect",-0.3333333333333333
"in no way perfect; not perfect; defective or inadequate; drainage here is imperfect",-0.3333333333333333
"nowhere near perfect; not perfect; defective or inadequate; drainage here is imperfect",-0.3333333333333333
"far from sporadic, recurring regularly or frequently in a prolonged and closely spaced series",0.16666666666666666
"anything but sporadic, recurring regularly or frequently in a prolonged and closely spaced series",0.16666666666666666
"nowhere near sporadic, recurring regularly or frequently in a prolonged and closely spaced series",0.16666666666666666
"the opposite of sporadic, recurring regularly or frequently in a prolonged and closely spaced series",0.16666666666666666
"far from cognisant; (often followed by `of') unaware; unaware of the danger they were in",-0.3333333333333333
"anything but cognisant; (often followed by `of') oblivious; unaware of the danger they were in",-0.3333333333333333
"nowhere near cognisant; (often followed by `of') ignorant; unaware of the danger they were in",-0.3333333333333333
"in no way cognisant; (often followed by `of') uninformed; unaware of the danger they were in",-0.3333333333333333
"far from indecisive; characterized by decision and firmness; an able and decisive young woman",0.7666666666666666
"anything but indecisive; characterized by decision and firmness; an able and decisive young woman",0.7666666666666666
"in no way indecisive; characterized by decision and firmness; an able and decisive young woman",0.7666666666666666
"not at all indecisive; characterized by decision and firmness; an able and decisive young woman",0.7666666666666666
"nowhere near indecisive; characterized by decision and firmness; an able and decisive young woman",0.7666666666666666
"far from advisedly, without intention; in an unintentional manner",-0.5
"anything but advisedly, without intention; in an unintentional manner",-0.5
"in no way advisedly, without intention; in an unintentional manner",-0.5
"not at all advisedly, without intention; in an unintentional manner",-0.5
"not on purpose, without intention; in an unintentional manner",-0.5
"not deliberately, without intention; in an unintentional manner",-0.5
"not intentionally, without intention; in an unintentional manner",-0.5
"accidentally, without intention; in an unintentional manner",-0.5
"far from positive; characterized by or displaying negation or denial or opposition or resistance; having no positive features; a colorless negative personality",-0.5333333333333333
"anything but positive; characterized by or displaying negation or denial or opposition or resistance; having no positive features; a colorless negative personality",-0.5333333333333333
"nowhere near positive; characterized by or displaying negation or denial or opposition or resistance; having no positive features; a colorless negative personality",-0.5333333333333333
"the opposite of positive; characterized by or displaying negation or denial or opposition or resistance; having no positive features; a colorless negative personality",-0.5333333333333333
"far from positive; characterized by display of negation or denial or opposition or resistance; a colorless negative personality",-0.5333333333333333
"anything but positive; characterized by display of negation or denial or opposition or resistance; a colorless negative personality",-0.5333333333333333
"in no way positive; characterized by display of negation or denial or opposition or resistance; a colorless negative personality",-0.5333333333333333
"the opposite of positive; characterized by display of negation or denial or opposition or resistance; a colorless negative personality",-0.5333333333333333
"far from speeding, lose velocity; move more slowly",-0.7083333333333334
"in no way speeding, lose velocity; move more slowly",-0.7083333333333334
